date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,credit_pos_vol,credit_pos_val,credit_ecom_vol,credit_ecom_val,debit_pos_vol,debit_pos_val,debit_ecom_vol,debit_ecom_val,ppi_pos_vol,ppi_pos_val,ppi_ecom_vol,ppi_ecom_val,credit_combined_vol,credit_combined_val,debit_combined_vol,debit_combined_val,ppi_combined_vol,ppi_combined_val,nfs_vol,nfs_val,aeps_bc_vol,aeps_bc_val,gov_sec_vol,gov_sec_val,forex_vol,forex_val,rupee_der_vol,rupee_der_val
2020-06-16,5.31426,329380.89332795,82.53249,88072.571480877,0.54833,8.1890834,469.24346,9361.873619611999,67.36546,7244.1532824,177.77,6101.41,19.89,1863.97,27.23052,49.4403909,7.23122,125.2381751,25.71,20977.17,,,,,,,,,,,,,,,,,,,97.91441,4058.7643912,34.63571,696.3924952,,,,,,
2020-06-17,4.96661,321418.906896674,72.76998,64135.491698875,0.53836,8.035623949,446.58304,9087.238502439,68.21495,7098.0103065,58.41,2713.92,9.84,1325,28.6,52.06,6.97598,117.0284785,22.24,17452.45,,,,,,,,,,,,,,,,,,,99.15097,4018.4815847,34.0051,690.779445731,,,,,,
2020-06-18,4.78605,335846.15948482,70.91951,76040.084251938,0.5827899999999999,8.4118687,433.31743,8793.3234418,66.09145,6929.7802542,127.05000000000001,4687.23,13.12,1580.04,29.33827,53.8151728,6.8359,117.2842529,20.69,17511.03,,,,,,,,,,,,,,,,,,,94.85363,3800.0509005050003,33.26725,682.1174728,,,,,,
2020-06-19,4.71551,336777.891035002,65.82844,64031.900713275,0.56548,8.3368294,440.29209,8512.468178525,65.63303,6593.3303394,100.14,2283.31,12.08,1186.34,29.27676,54.1981359,6.05629,100.8518106,19.09,16296.57,,,,,,,,,,,,,,,,,,,93.03071,3659.34087,32.12759,661.1746853,,,,,,
2020-06-20,3.87281,82992.8620651,53.97209,43978.103167333,0.48062,7.3706277,437.74652,8280.129005688,64.78842,6129.2473857,64.09,3046.25,29.76,2931.04,28.49106,53.2817068,5.93294,98.50779,18.74,15216.63,,,,,,,,,,,,,,,,,,,93.75148,3684.3983599999997,27.31537,575.7107563,,,,,,
2020-06-21,H,H,6.0616,2093.334083495,0.3333,4.895524050000001,356.52732,4938.442783352,45.952,3314.1917242,H,H,H,H,22.74338,49.8592767,4.65196,63.475462,H,H,,,,,,,,,,,,,,,,,,,67.33160000000001,2262.90744,17.23627,349.427433989,,,,,,
2020-06-22,5.13852,392434.042249955,95.50014,73128.604795022,0.50671,7.9827402,459.5468,9375.196451475,68.48067,7111.4237272,164.62,3777.18,19.53,1844.5,27.09581,47.9214832,6.63005,114.7906923,20.37,15267.04,,,,,,,,,,,,,,,,,,,97.66407,3843.1942621,31.23405,663.2947798,,,,,,
2020-06-23,4.79047,330592.05290278397,94.77534,95774.005969388,0.5705,8.7682392,452.99435,8650.023156345998,66.61695,6780.8497333,98.19,3307.0455926629993,9.37,1374.18,27.7484,50.8332465,6.34477,108.3621935,19.97,15936.12,,,,,,,,,,,,,,,,,,,93.53279,3651.4924143300004,31.32035,668.0433892,,,,,,
2020-06-24,4.80322,326049.651015362,71.5239,68814.85182985,0.5700000000000001,8.68,477.54,8942.45,65.81,6840.45,85.42,2642.41,9.53,1073.74,28.76,52.54,6.27,110.47,19.36,16881.89,,,,,,,,,,,,,,,,,,,93.74055,3654.8322000000003,30.02,661.93,,,,,,
2020-06-25,4.73562,331568.474388461,66.47256,86276.49159741,0.56213,8.7054141,456.49271,8531.518240163,66.15843,6927.48,175.59,5413.91,23.92,2028.04,28.56681,53.1637035,6.04065,115.2837441,19.83,16986.62,,,,,,,,,,,,,,,,,,,88.93782999999999,3479.38813,28.24715,647.9821347,,,,,,
2020-06-26,5.29307,425126.22358981497,71.37461,89606.847402207,0.5800000000000001,8.95,455.45,8660.95,66.32,6910.38,55,2991.67,14.58,1909.37,29.4,53.82,5.61,108.36,19.54,16727.35,,,,,,,,,,,,,,,,,,,92.29,3618.91,28.66,661.34,,,,,,
2020-06-27,H,H,13.77369,6805.169380618,0.52,8.33,436.26,7586.08,62.86,5836.21,H,H,H,H,29.17,53.85,4.93,81.78,H,H,,,,,,,,,,,,,,,,,,,90.47,3525.75,28.11,634.87,,,,,,
2020-06-28,H,H,6.57923,2336.184593657,0.3,4.52,397.91,5544.8,49.17,3612.89,H,H,H,H,27.19,52.65,3.89,60.37,H,H,,,,,,,,,,,,,,,,,,,73.02,2491.09,16.98,364.95,,,,,,
2020-06-29,7.00889,584660.829917299,109.64273,129714.54430081799,0.52,8.559999999999999,430.17,8825.17,72.11,8319.76,196.51,9710.779999999999,61.58,2989.02,28.01,48.86,5.98,136.04,28.84,23284.53,,,,,,,,,,,,,,,,,,,94.89,3877.57,28.18,655.14,,,,,,
2020-06-30,6.14231,701509.8353971951,143.16587,149509.505327103,0.43000000000000005,7.46,505.09,11811.09,83.56,10144.0,120.27,10462.82,20.17,1695.21,28.37,51.53,6.24,135.0,24.23,19341.41,,,,,,,,,,,,,,,,,,,102.06,4410.74,28.09,658.83,,,,,,
2020-07-01,4.90762,417735.94769834296,173.00165,96466.521451547,0.5700000000000001,9.49,515.18,11611.71,90.45,10474.88,120.04,5953.11,18.49,2498.3,28.76,53.51,5.49,99.45,21.43,19615.57,,,,,,,,,,,,,,,,,,,111.03,5051.5199999999995,27.47,685.77,,,,,,
2020-07-02,4.68519,320662.550536036,100.44184,74699.453100172,0.61,9.9,481.96,10494.44,83.03,9342.1,87.53999999999999,4215.67,62.02,3255.35,28.66,53.67,5.38,95.7,20.29,18585.69,,,,,,,,,,,,,,,,,,,108.64,4917.42,29.74,730.51,,,,,,
2020-07-03,4.69096,298605.34664303897,108.02575,71947.539887665,0.5900000000000001,9.74,507.41,10735.45,76.91,8293.17,66.85,6261.83,49.79,2830.92,29.21,53.59,5.61,100.32,19.58,18326.45,,,,,,,,,,,,,,,,,,,103.23,4574.7,28.45,691.09,,,,,,
2020-07-04,3.80446,95452.81050583899,70.05782,48814.680602458,0.56,9.059999999999999,498.77,10114.58,76.41,7785.95,168.07999999999998,5443.9400000000005,28.53,3253.66,29.21,53.14,5.36,87.6,18.6,14858.57,,,,,,,,,,,,,,,,,,,105.09,4597.66,27.37,652.57,,,,,,
2020-07-05,H,H,9.73955,2897.454619878,0.3,4.48,432.52,7115.05,55.19,4615.17,H,H,H,H,24.63,50.45,4.45,61.32,H,H,,,,,,,,,,,,,,,,,,,70.98,2790.42,17.31,376.34,,,,,,
2020-07-06,5.22569,393151.54084504006,109.29326,97039.576668612,0.6,9.55,503.34,10863.0,82.24,8622.13,65.56,2523.74,98.6,10137.16,26.99,47.8,6.17,104.29,22.06,16756.08,,,,,,,,,,,,,,,,,,,105.12,4574.37,30.28,713.78,,,,,,
2020-07-07,4.94152,347459.266266492,117.56608,75837.342504104,0.52,8.41,496.02,10438.01,79.28,8374.16,62.879999999999995,3733.0699999999997,56.67,4380,27.54,50.24,6.12,100.03,22.07,17262.46,,,,,,,,,,,,,,,,,,,102.75,4476.89,28.09,662.93,,,,,,
2020-07-08,4.74639,314249.01510610996,111.46972,73250.386649473,0.61,9.26,509.11,10642.44,77.06,8091.53,50.43,3432.55,30.35,1930.21,26.73,48.84,6.32,104.71,21.41,16771.69,,,,,,,,,,,,,,,,,,,107.32,4702.73,28.59,674.96,,,,,,
2020-07-09,4.74413,343721.64495817997,100.01119,72248.886731617,0.53,8.35,485.14,10059.96,74.58,7859.37,122.56,4702.08,12.14,1366.4,30.17,56.52,6.49,110.56,20.68,16590.58,,,,,,,,,,,,,,,,,,,103.6,4490.87,26.43,622.61,,,,,,
2020-07-10,5.20218,389681.829117096,102.36282,86573.937441695,0.5700000000000001,8.91,451.5,9324.23,74.82,8028.18,42.89,3159.9,82.56,8772.27,29.76,54.28,6.09,104.0,22.42,17692.52,,,,,,,,,,,,,,,,,,,106.92,4583.66,27.19,639.46,,,,,,
2020-07-11,H,H,14.27293,6074.971940592,0.5,7.67,500.95,9024.34,68.01,6185.32,H,H,H,H,27.82,52.54,6.67,104.02,H,H,,,,,,,,,,,,,,,,,,,95.77,3972.5,22.14,524.72,,,,,,
2020-07-12,H,H,7.29335,2357.1064143119997,0.31,4.63,434.05,6282.22,49.4,3658.08,H,H,H,H,22.77,48.38,6.01,83.79,H,H,,,,,,,,,,,,,,,,,,,61.49,2310.0,14.3,317.21,,,,,,
2020-07-13,6.44814,449931.92847688205,113.43608,88295.773112535,0.48,7.89,518.52,10469.79,77.46,8056.36,106.96000000000001,3874.5099999999998,23.81,2777.55,27.11,47.01,8.51,158.94,28.46,21147.95,,,,,,,,,,,,,,,,,,,99.16,4173.68,25.7,606.1,,,,,,
2020-07-14,5.20935,331781.70143451204,85.13832,68689.008542124,0.65,9.94,519.6,10312.04,74.8,7839.39,165.42000000000002,4988.37,17.56,1891.92,27.81,50.25,8.22,152.84,25.6,19089.76,,,,,,,,,,,,,,,,,,,99.31,4188.85,27.08,639.17,,,,,,
2020-07-15,4.96783,332465.969509559,86.07893,80746.79719251,0.66,9.83,499.18,10118.86,72.43,7711.74,62.19,3569.3700000000003,73.17,5184.39,27.89,51.67,8.48,164.86,22.91,19321.42,,,,,,,,,,,,,,,,,,,95.15,3961.97,27.7,640.47,,,,,,
2020-07-16,4.67086,326097.81652534695,84.25585,69716.473485349,0.65,9.92,479.81,9451.87,69.47,7083.76,106.05,8091.92,8.21,1075.83,27.87,53.42,7.84,149.76,20.58,16291.1,,,,,,,,,,,,,,,,,,,88.25,3612.93,25.78,596.21,,,,,,
2020-07-17,4.57588,304494.647142958,76.65922,74411.403100278,0.61,9.24,472.6,9034.77,68.6,7062.31,82.62,3898.8900000000003,11.01,1104.96,28.61,54.33,8.0,145.66,19.23,15784,,,,,,,,,,,,,,,,,,,89.38,3589.93,25.83,599.59,,,,,,
2020-07-18,3.36767,80898.977572713,59.84917,40256.322698796,0.51,7.75,462.3,8380.13,62.86,5988.41,59.730000000000004,1909.09,13.47,1428.97,27.66,53.96,7.05,129.2,15.78,12306.82,,,,,,,,,,,,,,,,,,,84.93,3338.88,21.49,503.66,,,,,,
2020-07-19,H,H,6.08129,2343.1571934599997,0.35000000000000003,5.04,410.87,5766.61,47.37,3415.28,H,H,H,H,23.06,50.35,5.59,86.11,H,H,,,,,,,,,,,,,,,,,,,59.47,2084.74,13.47,299.88,,,,,,
2020-07-20,5.20914,345326.922824118,74.31706,70357.759736613,0.6,9.04,461.25,8829.0,72.5,7248.83,60.06,1367.7,22.59,2475.98,25.67,47.62,8.16,171.62,20.74,15175.37,,,,,,,,,,,,,,,,,,,91.46,3617.8,25.07,581.65,,,,,,
2020-07-21,4.80039,300956.310215052,66.35638,59734.085961745,0.5800000000000001,8.92,437.49,8301.25,70.65,7070.64,59.989999999999995,2487.6400000000003,40.14,1547.76,27.52,51.87,7.75,148.54,20.65,16843.45,,,,,,,,,,,,,,,,,,,86.5,3431.82,23.49,549.09,,,,,,
2020-07-22,4.68802,307147.780796286,68.64978,62003.008565341006,0.54,8.73,496.81,9735.93,71.29,7124.26,89.33,2401.29,18.36,1503.05,28.93,53.53,7.7,153.12,19.53,16023.64,,,,,,,,,,,,,,,,,,,89.81,3541.99,24.49,568.34,,,,,,
2020-07-23,4.46214,310965.111774515,63.86625,67317.403262432,0.52,7.970000000000001,470.34,8878.82,69.01,6874.02,50.14,2869.98,15.61,918.93,29.18,55.13,7.31,146.39,18.15,15038.03,,,,,,,,,,,,,,,,,,,81.02,3184.41,21.54,502.76,,,,,,
2020-07-24,5.27373,319243.66811917996,78.15744,79211.516975882,0.5800000000000001,8.66,483.32,9348.16,71.25,7238.9,46.06,3410.69,14.01,1369.27,30.4,56.23,6.81,142.3,19.32,16641.71,,,,,,,,,,,,,,,,,,,88.17,3453.29,23.26,534.92,,,,,,
2020-07-25,H,H,13.6464,6554.568990416001,0.41000000000000003,6.51,466.6,7787.59,64.02,5730.15,H,H,H,H,28.73,54.35,5.43,101.01,H,H,,,,,,,,,,,,,,,,,,,75.45,2878.4,16.46,388.44,,,,,,
2020-07-26,H,H,7.73715,2268.573214808,0.29000000000000004,4.31,414.17,5659.17,47.71,3467.98,H,H,H,H,23.93,50.03,4.41,70.27,H,H,,,,,,,,,,,,,,,,,,,56.61,1990.82,11.98,269.49,,,,,,
2020-07-27,6.56634,360578.087615037,88.84762,102496.02530943,0.52,8.41,501.87,9884.21,75.23,7929.13,142.93,4175.06,21.57,2371.41,27.97,49.13,6.85,155.69,28.73,21941.86,,,,,,,,,,,,,,,,,,,92.04,3709.19,22.01,529.2,,,,,,
